country_code,country_name,value_2003,value_2019,cagr_percent,pre_2004_average,post_2004_average,observed_years
AZE,Azerbaijan,1949.61,5346.95,6.51,1438.55,4739.99,25
GEO,Georgia,1977.46,4975.81,5.94,1497.3,3500.15,25
ARM,Armenia,1759.65,4343.46,5.81,1238.99,3144.78,25
UZB,Uzbekistan,1520.35,3733.5,5.78,1367.47,2622.74,25
ALB,Albania,2428.69,5072.44,4.71,1901.95,3768.86,25
MDA,Moldova,1654.37,3438.68,4.68,1450.05,2501.51,25
BIH,Bosnia and Herzegovina,2855.68,5583.3,4.28,2220.39,4230.63,25
POL,Poland,7915.55,15221.31,4.17,6912.44,11439.26,25
KAZ,Kazakhstan,5724.43,10989.68,4.16,4282.78,9062.56,25
TUR,Turkiye,6496.07,12238.3,4.04,6098.61,9665.72,25
MKD,North Macedonia,3307.92,5961.58,3.75,3101.58,4732.43,25
SRB,Serbia,4233.78,6870.76,3.07,3593.72,5700.97,25
KGZ,Kyrgyz Republic,786.35,1201.88,2.69,693.25,1013.6,25
UKR,Ukraine,1814.26,2398.08,1.76,1469.04,2297.78,25
