year,observed,synthetic,gap,gap_percent,period
1995,100.0,100.00000000000001,-1.4210854715202004e-14,-1.4210854715202002e-14,pre
1996,106.01319811600118,106.51613068024798,-0.5029325642468052,-0.47216563447705806,pre
1997,112.68069839200112,112.65750914704614,0.02318924495497754,0.020583843128210648,pre
1998,117.84622087666801,117.91906012917065,-0.07283925250263223,-0.06177055042911877,pre
1999,123.39427726250301,123.92945651340429,-0.5351792509012796,-0.43184184451207874,pre
2000,130.49564590061073,129.9123623343216,0.5832835662891114,0.44898234148653715,pre
2001,132.14207811460489,131.4662645115685,0.6758136030363744,0.5140585727807802,pre
2002,134.71674079042197,134.62325772022749,0.09348307019448043,0.06944050513823984,pre
2003,139.5574709283263,140.12673394968328,-0.5692630213569885,-0.40624869024735816,pre
2004,146.74789742023964,148.24221603134035,-1.4943186111007094,-1.0080250087362366,post
2005,151.5996980816439,154.98020564545556,-3.3805075638116477,-2.181251179615255,post
2006,161.1041340075329,164.96917440749536,-3.865040399962453,-2.3428864294460854,post
2007,172.08892253071573,178.6662080774818,-6.577285546766063,-3.6813259863408008,post
2008,179.60841073092791,191.03652091773523,-11.428110186807316,-5.982159919949822,post
2009,184.1805526531415,193.31047406864033,-9.129921415498842,-4.722931573928584,post
2010,190.5605827236322,197.8776474622998,-7.317064738667597,-3.6977722509368647,post
2011,200.46760298334127,203.2427846006281,-2.7751816172868473,-1.3654514834266205,post
2012,203.49872198848314,203.47905163314942,0.01967035533371586,0.009667017403432452,post
2013,205.01485254063616,212.91207934603602,-7.8972268053998675,-3.709149255249569,post
2014,213.2119989510438,219.29797954650496,-6.085980595461166,-2.7752105186042333,post
2015,222.8094911999636,226.87810151932047,-4.068610319356878,-1.7933023469920053,post
2016,229.66194202893533,233.57957317212077,-3.917631143185446,-1.6772147880836357,post
2017,241.46503956585232,239.525900699175,1.9391388666773253,0.8095737709437634,post
2018,256.54711763181785,247.61605938562911,8.93105824618874,3.6068170490831553,post
2019,268.3636965296658,256.82774619943535,11.535950330230435,4.491707185434857,post
